ID,Frequency,InstlmentMode,LoanStatus,PaymentMode,BranchID,Area,Tenure,AssetCost,AmountFinance,DisbursalAmount,EMI,DisbursalDate,MaturityDAte,AuthDate,AssetID,ManufacturerID,SupplierID,LTV,SEX,AGE,MonthlyIncome,City,State,ZiPCODE,Top-up Month
825,Quatrly,Arrear,Closed,PDC_E,38,NELLORE,36,630980,480000,480000,52840,31-12-2012,05-01-2016,31-12-2012,8396244,1060,67904,67.7,M,37,33333.33,CUDDAPAH,ANDHRA PRADESH,516309, > 48 Months
827,Quatrly,Arrear,Closed,ECS,38,NELLORE,36,575000,297000,297000,32546,01-06-2013,05-06-2016,01-06-2013,10835996,1568,72532,45.99,M,49,33333.33,CUDDAPAH,ANDHRA PRADESH,516360,No Top-up Service
828,Quatrly,Arrear,Closed,ECS,38,NELLORE,36,607700,401457,401457,43090,26-06-2013,05-07-2016,26-06-2013,11219854,1046,29587,58.97,F,26,16666.67,CUDDAPAH,ANDHRA PRADESH,516001,No Top-up Service
829,Quatrly,Arrear,Closed,Billed,38,NELLORE,36,601500,480000,480000,53680,21-08-2013,10-08-2016,21-08-2013,12181752,1046,29587,70.88,M,28,25000,CUDDAPAH,ANDHRA PRADESH,516127,No Top-up Service
830,Monthly,Arrear,Closed,PDC,38,NELLORE,24,565500,402037,402037,16755,31-08-2013,05-09-2015,31-08-2013,12379334,1046,29587,71.09,F,43,16666.67,CUDDAPAH,ANDHRA PRADESH,516101,No Top-up Service
831,Quatrly,Arrear,Closed,ECS,38,NELLORE,48,600000,485526,485526,43719,04-02-2016,05-02-2020,04-02-2016,18918031,1046,29587,73.63,M,45,25000,CUDDAPAH,ANDHRA PRADESH,516152,No Top-up Service
832,Quatrly,Arrear,Closed,Direct Debit,38,NELLORE,36,600000,461974,461974,50954,13-04-2016,10-04-2019,13-04-2016,19825836,1046,29587,77,M,35,25000,CUDDAPAH,ANDHRA PRADESH,516126,No Top-up Service
837,Half Yearly,Arrear,Closed,PDC,40,HYDERABAD BEGUMPET,234,500000,350000,350000,61690,31-03-2012,15-12-2015,31-03-2012,4666998,1060,23549,70,M,48,14416.67,HYDERABAD,ANDHRA PRADESH,500088,No Top-up Service
838,Quatrly,Arrear,Closed,Billed,41,KARIMNAGAR,48,477742,340000,340000,31705,09-03-2010,20-02-2014,09-03-2010,454617,1187,89813,64.53,M,32,47083.33,,ANDHRA PRADESH,505001, > 48 Months
839,Quatrly,Arrear,Closed,Billed,41,KARIMNAGAR,36,643687,450000,450000,51845,28-05-2010,20-05-2013,31-05-2010,507239,1187,89813,61.86,M,41,25916.67,,ANDHRA PRADESH,505530,No Top-up Service
840,Monthly,Arrear,Closed,PDC,41,KARIMNAGAR,36,468651,340000,340000,12775,31-05-2010,20-05-2013,04-06-2010,510612,1187,89813,69.82,M,23,15000,,ANDHRA PRADESH,505001,No Top-up Service
841,Monthly,Arrear,Closed,Billed,41,KARIMNAGAR,48,575409,404681,404681,38000,31-12-2011,10-12-2015,31-12-2011,3562676,1187,89813,70.33,M,37,25000,KARIMNAGAR,ANDHRA PRADESH,505445,No Top-up Service
842,Monthly,Arrear,Closed,PDC_E,41,KARIMNAGAR,24,774559,550000,550000,27750,28-06-2012,05-07-2014,28-06-2012,5777037,1187,89813,67.43,,,,KARIMNAGAR,ANDHRA PRADESH,505001,18-24 Months
849,Quatrly,Arrear,Closed,ECS,46,MIRYALGUDA,36,515000,340000,340000,37650,04-08-2014,05-08-2017,05-08-2014,13954533,1060,23549,58.71,M,44,8333.33,NALGONDA,ANDHRA PRADESH,508001,No Top-up Service
850,Quatrly,Arrear,Closed,PDC,46,MIRYALGUDA,48,790000,582717,582717,50000,30-06-2015,10-06-2019,30-06-2015,16165779,1187,23740,73.76,M,28,29166.67,NALGONDA,ANDHRA PRADESH,508255, > 48 Months
851,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,406275,275000,275000,30830,25-02-2010,20-02-2013,25-02-2010,443662,1046,20060,60.1,M,50,22500,,ANDHRA PRADESH,524004,No Top-up Service
852,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,1360000,700000,700000,79550,25-02-2010,20-01-2013,26-02-2010,444005,1187,23667,45.62,M,59,50875,,ANDHRA PRADESH,524421, > 48 Months
